Country,GDP,Population,GDP per capita,GDP (billion dollars)
Brunei,12128089002,424473,28572,12.128089
Armenia,11536590636,2944791,3918,11.53659064
Madagascar,11499803807,25570512,450,11.49980381
Mongolia,11433635876,3113786,3672,11.43363588
North Macedonia,11279509014,2081996,5418,11.27950901
Guinea,10472514515,12067519,868,10.47251452
Chad,9871247732,15016753,657,9.871247732
Benin,9246696924,11175198,827,9.246696924
Rwanda,9135454442,11980961,762,9.135454442
Congo,8701334800,5110695,1703,8.7013348
Haiti,8408150518,10982366,766,8.408150518
Moldova,8128493432,4059684,2002,8.128493432
Niger,8119710126,21602382,376,8.119710126
Kyrgyzstan,7564738836,6189733,1222,7.564738836
Tajikistan,7146449583,8880268,805,7.146449583
Malawi,6303292264,17670196,357,6.303292264
Guam,5859000000,164281,35665,5.859
Fiji,5061202767,877459,5768,5.061202767
Mauritania,5024708656,4282570,1173,5.024708656
Maldives,4865546027,496402,9802,4.865546027
Montenegro,4844592067,627563,7720,4.844592067
Togo,4757776485,7698474,618,4.757776485
Barbados,4673500000,286232,16328,4.6735
Eswatini,4433664364,1124805,3942,4.433664364
Sierra Leone,3775047334,7488423,504,3.775047334
Guyana,3621046005,775222,4671,3.621046005
Liberia,3285455000,4702226,699,3.285455
Burundi,3172416146,10827019,293,3.172416146
Andorra,3012914131,77001,39128,3.012914131
Suriname,2995827901,570496,5251,2.995827901
Timor-Leste,2954621000,1243258,2377,2.954621
Greenland,2851610656,56172,5077,2.851610656
Aruba,2700558659,105366,25630,2.700558659
Lesotho,2578265358,2091534,1233,2.578265358
Bhutan,2528007911,745563,3391,2.528007911
Central African Rep.,1949411659,4596023,424,1.949411659
Belize,1862614800,375769,4957,1.8626148
Cabo Verde,1772706451,537498,3298,1.772706451
Saint Lucia,1737504296,180954,9602,1.737504296
San Marino,1632860041,33671,48495,1.632860041
Northern Mariana Islands,1593000000,56562,28164,1.593
Antigua and Barbuda,1510084751,95426,15825,1.510084751
Seychelles,1497959569,96418,15536,1.497959569
Gambia,1489464788,2213889,673,1.489464788
Guinea-Bissau,1346841897,1828145,737,1.346841897
